Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
CASTELLANOS DE ZAPARDIEL;56;ÁVILA;05;05056;94;COMARCA DE LA MORAÑA,COMARCA DE MADRIGAL DE LAS ALTAS TORRES;;;-4.908902;41.084718;339660.03;4549917.26;41.084717999065354,-4.908902000000001;0
CHAMARTÍN;67;ÁVILA;05;05067;68;SIERRA DE AVILA-ESTE;;;-4.958112;40.701615;334574.5;4507478.13;40.701614999067125,-4.958112000000001;0
CISLA;60;ÁVILA;05;05060;104;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-5.013227;40.965295;330590.76;4536856.23;40.96529499906589,-5.013227;0
COLLADO DE CONTRERAS;62;ÁVILA;05;05062;158;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.930021;40.88773;337402.68;4528087.18;40.88772999906624,-4.930021;0
CONSTANZANA;64;ÁVILA;05;05064;107;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.874063;40.938421;342237.77;4533612.18;40.93842099906601,-4.874063;0
DONVIDAS;70;ÁVILA;05;05070;30;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.804724;41.08864;348420.03;4550166.22;41.08863999906533,-4.804724;0
EL ARENAL;13;ÁVILA;05;05013;943;BAJO TIETAR,LOS GALAYOS;;;-5.086854;40.265212;322551.34;4459282.98;40.26521199906936,-5.086854;0
EL BOHODÓN;36;ÁVILA;05;05036;117;RIBERA DEL ADAJA;;;-4.729838;40.916264;354330.83;4530902.08;40.9162639990661,-4.729838000000001;0
EL HORNILLO;100;ÁVILA;05;05100;281;BAJO TIETAR,LOS GALAYOS;;;-5.103655;40.249954;321082.35;4457623.0;40.249953999069454,-5.103655000000001;0
EL OSO;175;ÁVILA;05;05175;149;COMARCA DE LA MORAÑA,PUEBLOS DE LA MORAÑA,RIBERA DEL ADAJA;;;-4.77127;40.842842;350676.71;4522821.07;40.84284199906645,-4.77127;0
