Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
VA08|MEDINA_DE_RIOSECO|2021-06-21|0.82|2.95|14.06|18.2|10.33|74.1|98.1|47.97|2.54|245.3|7.09|298.8|13.24
VA101|FINCA_ZAMADUEÑAS|2021-06-21|0.8|3.72|14.38|19.46|10.7|70.4|85.9|45.31|2.75|167.8|7.9|188.3|17.16
VA102|MEDINA_DEL_CAMPO|2021-06-21|0.81|3.7|14.42|19.24|10.42|67.36|92.4|44.2|2.98|76.83|7.44|102.3|17.35
VA103|RUEDA|2021-06-21|0.5|3.38|14.46|19.5|10.5|69.97|90.2|45.96|1.96|226.9|6.55|271.8|16.54
VA104|VILLALÃ³N_DE_CAMPOS|2021-06-21|4.6|3.27|13.74|17.99|10.67|78.65|98.8|53.64|3.72|251.4|8.53|272.0|16.67
ZA01|COLINAS_DE_TRASMONTE|2021-06-21|0.2|3.93|15.04|20.49|10.14|70.5|98.6|47.83|1.69|260.5|6.16|291.4|22.7
ZA02|VILLARALBO|2021-06-21|0.4|3.82|15.08|19.69|11.56|72.6|89.9|53.81|3.45|238.2|8.62|221.3|19.46
ZA04|VILLALPANDO|2021-06-21|0.6|4.2|14.99|21.52|10.64|69.64|94.9|40.59|2.94|258.8|7.47|257.6|19.47
ZA05|POZUELO_DE_TÁBARA|2021-06-21|1.0|4.01|14.94|20.07|10.25|69.3|95.8|46.25|2.38|260.7|6.76|273.2|21.95
ZA06|BARCIAL_DEL_BARCO|2021-06-21|0.82|4.2|15.55|20.94|11.08|71.0|97.3|46.56|2.05|251.1|5.65|273.6|23.68
ZA08|TORO|2021-06-21|0.81|3.5|15.22|19.84|11.64|72.3|92.9|49.17|2.22|230.3|6.13|221.3|17.55
AV01|NAVA_DE_ARÉVALO|2021-06-29|0.0|5.51|16.75|26.84|6.36|60.41|100.0|20.22|1.24|267.3|6.01|341.6|30.64
AV101|MUÑOGALINDO|2021-06-29|0.0|6.07|16.93|26.48|5.36|55.05|95.4|23.02|2.09|115.1|6.48|145.6|31.32
BU02|VALLE_DE_VALDELUCIO|2021-06-29|0.0|3.96|12.69|19.22|8.21|82.2|100.0|49.7|2.06|49.38|8.65|18.36|24.6
BU03|LERMA|2021-06-29|0.0|4.72|15.7|25.08|6.24|68.45|100.0|26.56|0.57|329.3|4.07|352.0|29.59
BU04|TARDAJOS|2021-06-29|0.0|4.88|14.97|23.41|5.89|68.8|97.0|35.96|1.49|70.1|6.28|24.82|28.62
BU05|VADOCONDES|2021-06-29|0.0|5.16|17.04|26.06|6.37|61.31|97.0|25.03|0.87|322.5|4.1|313.4|30.53
BU07|SANTA_GADEA_DEL_CID|2021-06-29|0.0|4.4|15.59|23.41|7.05|73.2|98.7|40.16|1.38|39.27|5.92|5.57|25.15
BU102|CONDADO_DE_TREVIÑO|2021-06-29|0.0|4.17|14.58|21.71|8.29|74.55|95.6|44.13|1.38|40.78|3.5|24.53|24.72
LE01|CARRACEDELO|2021-06-29|0.0|5.12|16.17|24.77|6.77|67.15|96.5|33.32|1.33|312.4|5.8|298.3|29.92
LE02|MANSILLA_MAYOR|2021-06-29|0.0|4.94|15.33|24.2|5.23|65.43|99.6|29.67|0.83|351.9|3.74|244.4|30.9
LE03|CUBILLAS_DE_LOS_OTEROS|2021-06-29|0.0|4.82|15.5|24.05|6.52|65.2|95.3|27.41|0.86|22.45|3.54|18.48|29.46
LE04|ZOTES_DEL_PÁRAMO|2021-06-29|0.0|5.28|15.59|23.67|7.04|65.12|94.8|30.11|1.41|20.22|4.66|339.6|31.45
LE05|QUINTANA_DEL_MARCO|2021-06-29|0.0|4.98|15.55|24.0|5.36|68.29|99.9|37.25|1.0|30.54|3.94|52.37|30.95
LE06|HOSPITAL_DE_ORBIGO|2021-06-29|0.0|4.73|15.61|24.08|7.19|63.66|93.1|31.3|0.96|14.95|3.75|314.2|28.16
LE07|BUSTILLO_DEL_PÁRAMO|2021-06-29|0.0|4.84|15.35|23.8|6.12|66.88|100.0|32.5|1.14|179.2|2.07|237.6|28.86
LE08|SAHAGÚN|2021-06-29|0.0|5.32|15.8|24.49|6.6|62.23|97.0|27.02|1.26|27.39|5.87|92.2|31.52
LE09|SANTAS_MARTAS|2021-06-29|0.0|5.24|15.22|23.99|6.26|63.84|94.7|27.82|1.63|329.7|7.77|104.3|29.66
P01|TORQUEMADA|2021-06-29|0.0|5.29|16.12|25.69|5.53|62.24|95.9|23.01|1.2|34.8|6.24|60.33|30.39
P02|VILLAMURIEL_DE_CERRATO|2021-06-29|0.0|5.07|17.04|26.34|7.74|61.77|96.9|23.11|0.97|35.7|5.05|333.0|28.79
P03|FUENTES_DE_NAVA|2021-06-29|0.0|5.25|16.02|26.0|5.18|65.08|97.5|26.28|1.12|343.4|7.54|56.36|30.63
P04|VILLOLDO|2021-06-29|0.0|5.14|15.01|24.23|5.5|70.6|100.0|31.58|1.46|44.69|6.54|49.35|30.15
P06|HERRERA_DE_PISUERGA|2021-06-29|0.0|4.57|13.33|22.07|5.73|72.6|97.7|34.83|1.53|21.22|7.56|19.2|27.18
P07|VILLALUENGA_DE_LA_VEGA|2021-06-29|0.0|4.58|14.2|21.98|5.75|71.6|96.4|38.93|0.77|38.59|3.84|189.8|29.65
P08|LANTADILLA|2021-06-29|0.0|5.26|14.96|24.12|6.56|69.2|97.7|31.26|1.71|62.0|7.75|18.61|30.15
P101|VILLAELES_DE_VALDAVIA|2021-06-29|0.0|5.18|13.68|22.98|5.21|71.3|96.4|35.34|1.88|217.9|6.97|242.2|31.03
SA01|CIUDAD_RODRIGO|2021-06-29|0.0|5.04|17.85|27.01|7.55|64.48|100.0|27.24|0.65|285.2|3.65|337.6|30.1
SA03|ALDEARRUBIA|2021-06-29|0.0|5.46|16.65|26.32|6.01|62.56|100.0|25.48|1.1|355.3|4.66|275.3|31.95
SA101|ARABAYONA|2021-06-29|0.0|5.04|16.06|25.69|5.98|57.68|94.3|20.69|0.64|251.9|1.25|67.85|31.52
SA102|EJEME|2021-06-29|0.0|5.71|16.74|27.65|4.63|60.47|98.9|25.16|1.18|178.3|4.58|99.2|32.72
SG01|GOMEZSERRACÍN|2021-06-29|0.0|5.23|16.29|26.2|4.5|60.2|100.0|22.24|0.97|119.5|5.8|317.9|30.84
SG02|NAVA_DE_LA_ASUNCIÓN|2021-06-29|0.0|5.31|16.95|26.91|5.39|61.11|100.0|24.42|1.09|107.3|5.66|320.0|30.15
SO01|ALMAZÁN|2021-06-29|0.0|5.03|15.65|24.75|5.33|64.94|98.1|32.11|1.2|339.5|5.74|25.42|29.42
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-06-29|0.0|5.43|17.04|25.88|6.62|61.92|97.8|28.35|1.37|314.1|6.42|281.3|30.53
SO03|FUENTECANTOS|2021-06-29|0.0|4.82|14.26|23.85|4.38|71.3|99.5|31.89|1.46|77.7|5.31|22.55|27.57
SO101|HINOJOSA_DEL_CAMPO|2021-06-29|0.0|4.92|15.23|23.66|8.46|70.1|98.7|32.13|2.91|24.54|9.03|25.26|22.27
VA01|MAYORGA|2021-06-29|0.0|5.38|16.53|25.68|7.94|58.39|91.8|20.59|1.15|18.45|5.17|78.4|30.86
VA02|TORRECILLA_DE_LA_ORDEN|2021-06-29|0.0|5.55|17.4|26.91|7.58|53.24|92.6|21.75|1.27|303.7|5.76|296.5|30.47
VA03|OLMEDO|2021-06-29|0.0|5.53|17.33|26.24|6.76|54.95|100.0|22.0|1.16|296.6|7.16|311.6|31.84
VA05|ENCINAS_DE_ESGUEVA|2021-06-29|0.0|4.63|16.0|26.4|4.45|61.87|93.5|24.65|1.16|123.2|5.58|59.93|23.99
VA06|TORDESILLAS|2021-06-29|0.0|5.22|17.63|27.19|6.53|55.35|95.3|15.98|0.89|278.3|4.88|294.0|29.87
VA07|VALBUENA_DE_DUERO|2021-06-29|0.0|5.31|17.59|26.44|6.87|53.12|88.7|19.38|0.97|4.77|5.36|259.9|30.52
VA08|MEDINA_DE_RIOSECO|2021-06-29|0.0|5.05|16.4|25.82|5.5|62.11|100.0|20.34|1.03|348.1|5.57|36.91|28.95
VA101|FINCA_ZAMADUEÑAS|2021-06-29|0.0|5.53|17.8|26.85|7.97|53.8|90.4|19.29|1.22|332.3|4.84|339.4|30.31
VA102|MEDINA_DEL_CAMPO|2021-06-29|0.0|6.02|18.33|26.66|7.9|49.54|89.0|21.49|1.71|146.3|5.07|196.8|31.97
VA103|RUEDA|2021-06-29|0.0|4.82|17.84|26.09|8.68|53.75|93.8|20.14|0.33|310.3|3.84|322.6|30.56
VA104|VILLALÃ³N_DE_CAMPOS|2021-06-29|0.0|5.71|16.12|24.92|6.19|64.62|99.7|28.14|1.97|346.7|9.12|67.47|31.82
ZA01|COLINAS_DE_TRASMONTE|2021-06-29|0.0|4.9|16.62|26.83|5.2|61.13|100.0|25.18|0.63|235.6|4.28|4.85|29.87
ZA02|VILLARALBO|2021-06-29|0.0|5.54|17.27|27.29|7.36|58.91|96.2|24.06|1.09|226.6|4.2|273.2|31.64
ZA04|VILLALPANDO|2021-06-29|0.0|5.44|16.59|26.51|4.97|57.25|97.0|17.85|1.2|351.0|6.15|90.2|30.61
ZA05|POZUELO_DE_TÁBARA|2021-06-29|0.0|5.03|16.35|26.24|4.76|57.63|97.1|20.73|0.86|253.4|4.14|255.1|29.77
ZA06|BARCIAL_DEL_BARCO|2021-06-29|0.0|5.3|17.43|26.99|6.61|59.39|99.2|24.07|0.85|295.7|4.45|129.8|31.29
ZA08|TORO|2021-06-29|0.0|5.2|17.4|26.05|7.77|58.26|95.8|24.61|0.85|289.0|3.71|247.2|30.84
AV01|NAVA_DE_ARÉVALO|2021-08-09|0.0|5.69|20.18|31.89|6.39|47.09|88.3|16.27|1.43|244.4|5.35|329.5|26.94
AV101|MUÑOGALINDO|2021-08-09|0.0|6.82|20.02|30.92|6.9|41.45|75.5|17.97|2.63|58.01|9.33|28.75|28.03
BU02|VALLE_DE_VALDELUCIO|2021-08-09|0.0|5.44|18.55|28.79|8.34|60.28|100.0|16.11|1.74|319.6|7.2|19.86|25.49
