Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
P101|VILLAELES_DE_VALDAVIA|2021-05-01|7.64|1.8|4.88|8.87|2.45|83.78|93.0|69.82|2.13|219.06|4.89|198.2|13.97
SA01|CIUDAD_RODRIGO|2021-05-01|0.0|2.96|9.85|16.28|5.11|74.4|100.0|36.55|0.73|287.0|4.19|325.7|20.81
SA03|ALDEARRUBIA|2021-05-01|0.0|3.14|8.77|14.28|5.53|75.2|100.0|43.34|1.75|2.32|5.59|338.6|22.47
SA101|ARABAYONA|2021-05-01|0.0|2.8|7.95|13.62|4.44|66.37|90.7|36.25|0.89|315.1|1.71|286.7|20.04
SA102|EJEME|2021-05-01|0.0|3.2|9.16|14.76|5.14|68.69|92.4|40.06|1.56|178.2|5.32|108.4|21.88
SG01|GOMEZSERRACÍN|2021-05-01|0.2|2.54|7.85|13.67|4.16|81.2|100.0|42.84|1.29|16.45|5.21|329.2|17.02
SG02|NAVA_DE_LA_ASUNCIÓN|2021-05-01|0.0|2.43|7.74|13.35|3.45|87.1|100.0|51.01|1.2|353.3|6.56|2.85|17.05
SO01|ALMAZÁN|2021-05-01|1.01|2.03|5.94|10.24|2.32|84.7|98.6|60.12|1.81|18.29|7.06|351.1|14.71
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-05-01|2.87|2.42|8.0|13.37|3.11|81.8|99.8|43.03|1.69|293.2|7.69|280.1|14.57
SO03|FUENTECANTOS|2021-05-01|2.2|1.56|5.09|8.62|-0.36|82.3|95.8|62.28|2.33|1.1|6.76|318.2|9.11
SO101|HINOJOSA_DEL_CAMPO|2021-05-01|0.8|1.56|5.31|9.19|2.48|84.9|96.2|65.24|3.79|17.73|8.18|18.88|7.99
VA01|MAYORGA|2021-05-01|4.22|2.17|7.31|12.64|4.23|78.5|96.9|38.22|1.2|48.84|5.1|57.59|12.74
VA02|TORRECILLA_DE_LA_ORDEN|2021-05-01|0.0|3.04|8.73|14.11|4.06|68.72|95.2|33.89|1.7|353.3|5.61|320.6|19.71
VA03|OLMEDO|2021-05-01|0.0|2.92|8.83|13.8|5.23|70.5|96.6|38.67|1.88|357.0|6.86|296.2|18.72
VA05|ENCINAS_DE_ESGUEVA|2021-05-01|2.64|2.51|7.08|12.6|3.57|76.1|89.0|48.16|2.25|43.27|5.53|17.09|15.15
VA06|TORDESILLAS|2021-05-01|0.0|3.13|9.85|15.25|5.39|64.9|87.2|31.17|1.35|43.13|6.37|24.32|19.75
VA07|VALBUENA_DE_DUERO|2021-05-01|0.99|2.88|8.34|12.98|4.95|67.95|83.2|43.94|2.31|23.44|7.13|42.55|17.44
VA08|MEDINA_DE_RIOSECO|2021-05-01|1.64|2.65|7.96|13.69|4.75|74.8|96.4|36.7|2.33|25.56|7.54|44.54|13.78
VA101|FINCA_ZAMADUEÑAS|2021-05-01|1.0|2.81|8.12|13.03|5.03|72.6|88.2|42.78|2.11|324.2|5.71|324.5|17.57
VA102|MEDINA_DEL_CAMPO|2021-05-01|0.0|3.59|9.35|14.96|5.69|66.0|87.9|34.18|2.65|191.5|5.75|231.7|21.81
VA103|RUEDA|2021-05-01|0.0|2.93|9.16|14.52|4.71|66.51|92.3|32.62|1.75|11.97|6.18|39.73|17.05
VA104|VILLALÃ³N_DE_CAMPOS|2021-05-01|4.43|2.29|7.24|11.9|4.23|81.02|96.3|55.0|1.88|27.81|4.68|39.17|15.67
ZA01|COLINAS_DE_TRASMONTE|2021-05-01|2.44|2.61|8.32|13.95|3.39|78.4|100.0|43.22|0.82|328.2|4.83|330.1|18.89
ZA02|VILLARALBO|2021-05-01|0.0|3.63|9.61|15.22|4.76|69.2|94.5|34.1|1.66|339.6|18.08|289.9|25.87
ZA04|VILLALPANDO|2021-05-01|1.8|2.79|8.1|13.92|4.17|76.3|95.1|47.76|1.62|32.97|6.49|297.4|19.49
ZA05|POZUELO_DE_TÁBARA|2021-05-01|1.3|2.47|8.03|14.75|1.24|74.1|98.3|39.6|1.07|7.74|4.95|179.4|15.94
ZA06|BARCIAL_DEL_BARCO|2021-05-01|4.1|2.8|9.05|14.89|4.83|76.4|97.2|38.99|1.12|351.9|5.28|303.7|18.8
ZA08|TORO|2021-05-01|0.0|3.69|10.07|15.89|4.48|64.42|91.1|29.78|1.87|358.2|7.58|265.1|24.1
AV01|NAVA_DE_ARÉVALO|2021-12-31|0.1|1.35|6.44|18.79|-1.77|75.19|93.6|26.81|1.19|164.2|3.85|307.5|8.12
AV101|MUÑOGALINDO|2021-12-31|0.0|1.71|5.67|18.19|-1.48|65.75|91.0|23.73|1.67|95.8|4.22|117.2|10.03
BU02|VALLE_DE_VALDELUCIO|2021-12-31|0.0|1.3|9.77|14.04|4.14|63.12|95.9|41.59|2.48|273.7|6.12|244.3|6.99
BU03|LERMA|2021-12-31|0.0|0.31|5.57|19.15|-1.63|82.2|100.0|33.31|0.24|167.7|2.33|229.4|9.04
BU04|TARDAJOS|2021-12-31|0.2|0.61|4.87|15.46|-1.13|88.2|98.4|52.24|0.83|233.1|3.54|240.2|8.31
BU05|VADOCONDES|2021-12-31|0.2|0.85|4.86|17.15|-1.42|82.8|100.0|36.29|0.82|113.1|3.64|79.9|7.91
BU07|SANTA_GADEA_DEL_CID|2021-12-31|0.2|1.02|8.44|20.53|1.46|80.1|99.2|32.68|0.89|286.4|6.43|322.8|7.13
BU102|CONDADO_DE_TREVIÑO|2021-12-31|0.0|0.42|9.48|18.35|2.16|73.08|98.2|37.5|0.4|0.13|4.03|0.05|8.0
LE01|CARRACEDELO|2021-12-31|0.41|0.44|4.49|14.06|0.45|93.7|100.0|62.34|0.46|180.2|2.23|174.0|5.56
LE02|MANSILLA_MAYOR|2021-12-31|0.39|0.39|3.7|10.6|-0.09|98.3|100.0|79.6|0.63|3.5|2.35|207.6|4.61
LE03|CUBILLAS_DE_LOS_OTEROS|2021-12-31|0.2|0.38|3.63|9.16|-0.37|97.1|99.7|79.9|0.56|23.74|2.44|334.6|4.04
LE04|ZOTES_DEL_PÁRAMO|2021-12-31|0.2|0.39|4.49|8.57|0.69|97.4|99.5|83.4|0.63|13.85|2.41|328.0|3.8
LE05|QUINTANA_DEL_MARCO|2021-12-31|0.2|0.39|4.85|8.46|0.76|98.5|100.0|84.1|0.47|336.7|2.09|45.45|3.12
LE06|HOSPITAL_DE_ORBIGO|2021-12-31|0.2|0.39|4.12|8.59|0.52|97.2|99.6|79.0|0.55|4.07|2.69|354.5|3.72
LE07|BUSTILLO_DEL_PÁRAMO|2021-12-31|0.2|0.41|4.22|10.57|-0.23|98.7|100.0|79.2|0.77|18.78|4.98|294.3|4.63
LE08|SAHAGÚN|2021-12-31|0.41|0.49|5.76|12.91|1.88|89.8|99.7|64.37|0.85|13.78|3.56|297.4|7.28
LE09|SANTAS_MARTAS|2021-12-31|0.39|0.66|5.82|12.79|0.97|87.1|96.3|50.72|1.09|92.4|2.96|151.9|7.65
P01|TORQUEMADA|2021-12-31|33.86|0.65|5.95|16.9|1.6|90.6|98.9|49.9|0.67|64.31|3.24|259.9|6.8
P02|VILLAMURIEL_DE_CERRATO|2021-12-31|0.41|0.57|6.48|15.57|2.27|95.5|100.0|59.37|0.66|92.7|2.79|182.0|6.57
P03|FUENTES_DE_NAVA|2021-12-31|0.4|0.43|5.6|13.86|0.69|93.0|98.8|64.08|0.45|62.04|2.39|54.49|6.41
P04|VILLOLDO|2021-12-31|0.0|0.5|4.62|14.42|1.33|98.7|100.0|69.24|0.76|35.6|2.47|36.57|6.38
P06|HERRERA_DE_PISUERGA|2021-12-31|0.41|0.38|-0.55|6.64|-3.92|94.1|100.0|62.16|0.67|169.0|3.45|207.1|5.8
P07|VILLALUENGA_DE_LA_VEGA|2021-12-31|0.2|58.07|9.19|120.4|-0.13|83.2|98.3|39.01|0.63|325.3|2.22|353.4|8.43
P08|LANTADILLA|2021-12-31|0.0|0.4|4.99|12.71|1.57|96.0|99.4|74.5|0.59|300.2|3.02|314.4|6.12
P101|VILLAELES_DE_VALDAVIA|2021-12-31|0.2|0.92|3.46|15.41|-2.18|85.44|97.9|39.62|1.21|142.84|4.08|352.0|8.8
SA01|CIUDAD_RODRIGO|2021-12-31|0.2|0.87|7.19|19.71|-0.76|81.0|99.4|39.06|0.73|200.6|5.45|196.8|9.27
SA03|ALDEARRUBIA|2021-12-31|0.2|0.78|6.32|19.89|-2.16|79.6|100.0|38.57|0.64|145.0|4.13|261.8|9.27
SA101|ARABAYONA|2021-12-31|2.2|0.64|7.89|16.06|1.91|70.29|90.2|49.15|0.7|128.9|1.2|311.7|9.05
SA102|EJEME|2021-12-31|0.2|1.12|5.49|19.07|-2.43|82.7|100.0|38.59|1.08|358.0|4.62|50.97|9.82
SG01|GOMEZSERRACÍN|2021-12-31|0.2|0.72|5.08|19.09|-3.09|85.5|100.0|29.37|0.56|99.2|2.13|122.4|9.11
SG02|NAVA_DE_LA_ASUNCIÓN|2021-12-31|0.1|0.54|2.68|14.91|-4.48|94.6|100.0|67.0|0.74|127.0|3.14|314.4|8.26
SO01|ALMAZÁN|2021-12-31|0.2|0.84|4.12|16.2|-2.57|83.7|100.0|37.23|0.89|148.5|3.99|317.4|8.58
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-12-31|0.21|0.72|4.36|18.93|-2.11|80.1|96.1|25.57|0.53|119.3|3.39|101.7|8.29
SO03|FUENTECANTOS|2021-12-31|0.0|0.79|1.68|17.94|-6.82|83.5|100.0|23.23|0.56|198.3|3.89|254.6|7.48
SO101|HINOJOSA_DEL_CAMPO|2021-12-31|0.2|1.09|5.58|16.62|-1.9|76.2|100.0|34.72|1.16|105.7|3.35|234.5|6.89
VA01|MAYORGA|2021-12-31|0.4|0.38|4.42|8.85|0.98|97.6|99.3|84.4|0.65|69.33|2.57|58.91|4.39
VA02|TORRECILLA_DE_LA_ORDEN|2021-12-31|0.2|0.56|4.38|14.51|-1.77|91.6|100.0|59.55|0.71|22.95|2.33|77.3|8.33
VA03|OLMEDO|2021-12-31|0.2|1.03|5.74|17.13|-1.1|84.8|100.0|46.59|1.32|104.0|4.79|132.0|9.11
VA05|ENCINAS_DE_ESGUEVA|2021-12-31|0.2|1.1|4.75|18.53|-1.58|80.2|93.0|36.02|1.01|72.8|2.67|93.5|7.58
VA06|TORDESILLAS|2021-12-31|0.4|0.53|5.24|14.05|1.45|96.2|100.0|66.55|0.75|67.84|2.78|95.1|7.11
VA07|VALBUENA_DE_DUERO|2021-12-31|0.2|0.71|6.09|16.78|-0.32|82.4|92.2|54.28|0.92|103.0|3.31|123.9|9.33
VA08|MEDINA_DE_RIOSECO|2021-12-31|1.64|0.28|4.93|9.63|1.09|99.6|100.0|95.5|0.95|50.97|3.33|90.8|7.3
VA101|FINCA_ZAMADUEÑAS|2021-12-31|0.4|0.45|4.88|12.89|1.54|96.1|99.1|76.2|0.7|304.9|2.68|340.0|6.05
VA102|MEDINA_DEL_CAMPO|2021-12-31|0.2|1.11|5.74|17.84|-0.82|86.9|99.3|45.87|1.36|248.6|3.75|271.4|8.94
VA103|RUEDA|2021-12-31|0.2|0.0|5.66|14.11|-0.27|91.7|109.0|51.57|0.31|38.97|2.55|294.4|8.55
VA104|VILLALÃ³N_DE_CAMPOS|2021-12-31|0.6|0.42|5.57|12.49|2.11|100.0|100.0|71.83|0.64|49.0|2.75|8.2|6.74
ZA01|COLINAS_DE_TRASMONTE|2021-12-31|0.2|0.35|5.0|7.06|2.25|99.9|100.0|98.6|0.66|336.7|3.28|296.1|2.7
ZA02|VILLARALBO|2021-12-31|0.2|0.35|4.55|9.54|1.15|99.2|100.0|91.3|0.83|39.29|3.12|0.19|5.75
ZA04|VILLALPANDO|2021-12-31|0.0|0.39|5.16|9.49|0.57|98.7|99.9|84.7|0.94|28.15|3.09|97.2|5.19
ZA05|POZUELO_DE_TÁBARA|2021-12-31|0.1|0.37|4.29|7.19|0.31|98.8|100.0|90.1|0.8|327.3|3.12|319.9|3.28
ZA06|BARCIAL_DEL_BARCO|2021-12-31|0.0|0.38|5.26|8.31|1.86|98.4|100.0|85.7|0.63|6.23|2.69|319.5|4.02
ZA08|TORO|2021-12-31|0.2|0.53|5.87|13.49|2.27|94.4|99.8|64.9|0.74|41.44|2.97|76.6|7.04
AV01|NAVA_DE_ARÉVALO|2021-05-27|0.0|4.64|18.44|26.67|7.92|55.48|88.0|27.51|1.78|193.3|6.46|190.6|19.78
AV101|MUÑOGALINDO|2021-05-27|0.0|4.15|15.89|24.5|4.48|59.83|90.7|33.66|1.9|82.4|5.84|47.44|18.22
BU02|VALLE_DE_VALDELUCIO|2021-05-27|0.0|5.2|16.37|25.47|5.94|62.2|100.0|24.24|1.84|37.33|7.82|52.32|26.46
BU03|LERMA|2021-05-27|0.0|4.18|17.24|27.6|4.9|60.75|100.0|24.29|0.52|339.4|4.06|141.2|24.08
BU04|TARDAJOS|2021-05-27|0.0|4.74|16.9|26.23|4.55|61.07|96.2|24.64|1.08|101.0|4.56|208.7|25.95
BU05|VADOCONDES|2021-05-27|0.0|4.77|19.0|26.99|9.46|60.17|93.3|27.24|1.28|84.2|4.61|73.3|23.69
BU07|SANTA_GADEA_DEL_CID|2021-05-27|0.0|4.71|16.4|29.1|3.89|68.22|98.1|28.1|0.74|1.47|3.8|86.1|26.95
BU101|VALLE_DE_LOSA|2021-05-27|0.0|4.28|14.13|27.18|0.32|78.3|96.2|42.82|0.62|280.2|6.23|288.3|26.62
BU102|CONDADO_DE_TREVIÑO|2021-05-27|0.0|4.54|16.53|28.52|3.89|66.59|96.3|29.73|0.72|160.15|1.72|152.63|25.98
LE01|CARRACEDELO|2021-05-27|0.0|4.47|17.99|28.68|6.57|62.18|97.1|30.51|0.92|277.2|4.91|280.5|23.37
LE02|MANSILLA_MAYOR|2021-05-27|0.0|4.56|17.54|25.52|7.02|59.16|94.2|26.74|0.93|24.33|4.36|219.0|25.48
LE03|CUBILLAS_DE_LOS_OTEROS|2021-05-27|0.0|4.64|17.96|26.24|7.45|57.7|92.7|25.95|0.99|26.43|4.29|207.1|25.17
LE04|ZOTES_DEL_PÁRAMO|2021-05-27|0.0|5.22|18.54|26.28|8.72|52.55|86.9|26.11|1.68|312.1|6.24|182.8|25.8
LE05|QUINTANA_DEL_MARCO|2021-05-27|0.0|5.02|18.27|27.13|7.38|54.95|86.7|27.32|1.4|313.4|6.98|249.3|25.25
LE06|HOSPITAL_DE_ORBIGO|2021-05-27|0.0|4.6|17.42|25.42|7.46|57.57|87.6|26.51|1.22|11.75|4.25|347.8|23.95
LE07|BUSTILLO_DEL_PÁRAMO|2021-05-27|0.0|4.76|17.29|26.04|6.72|59.96|99.5|29.18|1.49|195.8|5.02|146.9|24.16
LE08|SAHAGÚN|2021-05-27|0.0|5.32|19.07|26.47|8.91|47.29|80.6|23.93|1.26|100.8|4.53|102.7|28.49
LE09|SANTAS_MARTAS|2021-05-27|0.0|5.65|18.68|25.8|9.6|49.35|78.1|24.54|2.04|100.6|5.77|232.7|27.39
P01|TORQUEMADA|2021-05-27|0.0|4.49|17.11|27.09|5.6|61.58|94.6|23.21|0.87|29.67|4.28|216.8|24.42
P02|VILLAMURIEL_DE_CERRATO|2021-05-27|0.0|4.63|18.72|27.14|9.46|55.87|85.5|25.11|1.04|74.5|5.25|209.4|23.67
P03|FUENTES_DE_NAVA|2021-05-27|0.0|4.54|18.24|27.33|8.46|61.77|91.3|25.26|0.79|47.22|4.25|260.1|24.83
P04|VILLOLDO|2021-05-27|0.0|4.84|17.06|26.45|6.1|65.7|100.0|27.87|1.26|38.78|4.29|238.3|25.87
P06|HERRERA_DE_PISUERGA|2021-05-27|0.0|5.09|17.34|26.33|6.4|58.15|94.5|24.44|1.46|12.97|5.85|198.9|26.42
P07|VILLALUENGA_DE_LA_VEGA|2021-05-27|0.0|4.68|17.77|25.26|7.22|53.18|88.5|26.13|1.12|282.0|4.36|204.1|25.26
P08|LANTADILLA|2021-05-27|0.0|4.87|17.81|27.11|5.96|58.4|95.7|24.08|1.11|50.62|5.14|253.1|25.94
P101|VILLAELES_DE_VALDAVIA|2021-05-27|0.0|5.81|16.9|26.29|4.99|56.21|94.6|25.01|2.13|132.6|6.61|236.2|29.69
SA01|CIUDAD_RODRIGO|2021-05-27|0.0|3.73|17.88|26.75|7.22|64.75|99.9|32.84|0.9|205.4|6.36|155.5|18.32
SA03|ALDEARRUBIA|2021-05-27|0.0|4.1|17.87|26.45|6.75|57.27|96.9|29.97|0.98|332.9|5.47|305.4|20.85
SA101|ARABAYONA|2021-05-27|0.0|4.22|18.57|26.31|8.98|43.56|65.42|23.94|0.74|171.6|1.41|197.8|22.39
SA102|EJEME|2021-05-27|0.0|4.58|17.07|27.74|4.67|60.22|94.7|26.02|1.33|19.16|5.87|91.1|21.48
SG01|GOMEZSERRACÍN|2021-05-27|0.0|4.08|17.74|26.73|4.63|59.04|96.5|25.07|0.93|144.7|5.94|137.3|20.52
SG02|NAVA_DE_LA_ASUNCIÓN|2021-05-27|0.0|4.14|18.36|27.78|3.92|56.07|100.0|25.95|1.21|173.6|5.12|293.9|18.51
SO01|ALMAZÁN|2021-05-27|0.2|4.42|14.83|24.67|3.25|73.1|99.6|33.1|1.09|121.4|4.12|164.6|25.35
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-05-27|0.0|4.89|17.91|27.0|7.19|63.07|99.0|27.8|1.24|109.1|5.82|115.6|25.63
SO03|FUENTECANTOS|2021-05-27|0.2|4.12|13.72|23.7|1.78|72.9|99.9|35.49|0.78|108.7|3.29|117.4|25.35
SO101|HINOJOSA_DEL_CAMPO|2021-05-27|0.0|4.04|14.99|24.11|4.08|67.81|100.0|31.65|1.29|83.5|5.68|112.0|20.93
VA01|MAYORGA|2021-05-27|0.0|4.95|18.51|27.07|7.74|53.81|89.6|23.77|1.08|70.7|4.68|272.3|26.46
VA02|TORRECILLA_DE_LA_ORDEN|2021-05-27|0.0|4.89|19.07|27.84|7.11|45.65|77.0|21.15|1.34|253.0|5.63|274.2|22.73
VA03|OLMEDO|2021-05-27|0.0|5.15|19.02|28.38|6.82|49.07|86.2|22.13|1.75|162.5|5.54|129.2|21.98
VA05|ENCINAS_DE_ESGUEVA|2021-05-27|0.0|4.26|18.31|27.39|7.79|58.02|89.6|25.04|0.94|74.7|3.91|282.7|21.23
VA06|TORDESILLAS|2021-05-27|0.0|4.69|19.7|28.39|7.73|50.01|87.9|23.27|1.07|3.14|4.59|317.0|23.09
VA07|VALBUENA_DE_DUERO|2021-05-27|0.0|5.01|19.37|28.94|8.65|49.27|84.6|21.42|1.16|86.1|4.59|328.2|24.49
VA08|MEDINA_DE_RIOSECO|2021-05-27|0.0|4.51|17.75|27.04|7.18|60.24|95.5|24.8|0.95|29.09|4.18|208.5|23.89
VA101|FINCA_ZAMADUEÑAS|2021-05-27|0.0|4.86|19.05|28.39|8.37|50.35|87.1|21.5|1.11|309.1|4.47|86.1|24.11
VA102|MEDINA_DEL_CAMPO|2021-05-27|0.0|4.7|18.9|27.68|6.39|47.8|84.5|23.92|1.62|215.5|6.38|292.5|19.7
VA103|RUEDA|2021-05-27|0.0|3.88|19.89|27.97|8.88|42.86|76.1|23.37|0.44|294.3|5.31|354.0|21.14
VA104|VILLALÃ³N_DE_CAMPOS|2021-05-27|0.0|4.93|18.57|26.28|9.13|56.4|88.6|27.85|1.64|31.62|5.38|237.2|23.68
ZA01|COLINAS_DE_TRASMONTE|2021-05-27|0.0|4.3|18.86|27.57|7.73|54.93|92.8|26.52|0.52|242.1|3.69|70.5|24.47
ZA02|VILLARALBO|2021-05-27|0.0|4.8|18.78|27.9|8.1|54.35|87.3|25.4|1.16|251.5|5.59|290.3|24.01
ZA04|VILLALPANDO|2021-05-27|0.0|4.45|17.88|27.86|6.71|57.45|92.8|21.33|0.85|23.51|4.86|338.6|23.4
ZA05|POZUELO_DE_TÁBARA|2021-05-27|0.0|4.58|18.01|27.09|8.14|57.04|89.2|25.31|0.85|295.5|4.16|230.2|25.01
ZA06|BARCIAL_DEL_BARCO|2021-05-27|0.0|4.62|18.75|27.97|7.6|56.71|94.0|23.73|0.68|335.6|3.93|197.5|25.93
ZA08|TORO|2021-05-27|0.0|4.33|19.05|27.45|7.63|53.33|89.7|24.87|0.8|279.8|4.68|287.4|22.83
AV01|NAVA_DE_ARÉVALO|2021-03-04|0.0|2.31|9.12|15.15|3.16|78.17|100.0|47.76|3.17|154.5|8.27|142.5|14.36
AV101|MUÑOGALINDO|2021-03-04|0.0|2.19|6.71|14.74|-0.49|77.12|100.0|41.45|2.42|279.4|8.61|262.2|12.84
BU02|VALLE_DE_VALDELUCIO|2021-03-04|0.2|1.84|6.48|15.3|-1.04|81.3|100.0|33.84|1.12|91.3|6.93|282.5|13.99
BU03|LERMA|2021-03-04|0.2|1.57|7.76|17.81|0.03|77.7|100.0|38.18|0.36|356.8|3.42|8.25|15.0
BU04|TARDAJOS|2021-03-04|0.0|2.13|8.13|15.32|3.95|84.4|98.3|43.0|2.16|65.9|5.17|55.56|13.6
BU05|VADOCONDES|2021-03-04|0.0|2.3|8.67|18.09|3.01|76.0|100.0|31.03|1.54|94.8|5.06|64.96|13.48
BU07|SANTA_GADEA_DEL_CID|2021-03-04|0.0|1.26|8.71|14.48|3.48|89.0|97.1|67.58|0.88|180.7|4.75|160.6|9.51
BU101|VALLE_DE_LOSA|2021-03-04|0.0|0.77|8.82|16.62|2.29|87.3|97.6|60.57|0.51|24.87|4.5|351.6|0.63
BU102|CONDADO_DE_TREVIÑO|2021-03-04|0.0|1.34|8.13|14.89|3.95|88.3|98.0|65.42|0.88|177.02|3.05|164.1|10.64
LE01|CARRACEDELO|2021-03-04|0.0|1.46|9.73|19.33|2.05|77.5|98.2|42.99|0.55|96.0|3.16|82.6|9.76
LE02|MANSILLA_MAYOR|2021-03-04|0.2|1.79|7.9|16.03|1.11|81.0|100.0|46.71|1.02|54.45|4.31|121.3|15.21
LE03|CUBILLAS_DE_LOS_OTEROS|2021-03-04|0.8|1.92|8.05|15.58|2.08|80.4|96.3|46.48|1.47|65.17|5.59|239.8|14.47
LE04|ZOTES_DEL_PÁRAMO|2021-03-04|0.0|1.88|8.39|15.35|2.72|80.9|96.7|49.95|1.47|66.29|4.58|108.1|14.56
LE05|QUINTANA_DEL_MARCO|2021-03-04|0.0|1.75|8.66|15.8|1.91|83.3|100.0|51.67|1.17|9.54|4.75|90.6|13.97
LE06|HOSPITAL_DE_ORBIGO|2021-03-04|0.4|1.76|8.55|15.66|2.94|81.1|97.8|50.46|1.19|48.9|3.93|184.7|13.84
LE07|BUSTILLO_DEL_PÁRAMO|2021-03-04|0.8|1.85|8.48|15.17|3.04|83.3|100.0|49.69|1.64|58.39|4.81|145.0|13.38
LE08|SAHAGÚN|2021-03-04|0.0|2.11|8.96|15.26|3.32|73.6|94.8|40.27|1.68|60.12|5.26|87.0|15.34
P01|TORQUEMADA|2021-03-04|0.2|2.01|7.57|16.04|1.0|80.9|98.0|42.56|1.75|50.48|4.14|33.47|12.44
P02|VILLAMURIEL_DE_CERRATO|2021-03-04|0.0|2.13|9.2|17.03|2.74|80.1|100.0|44.17|1.84|61.88|4.65|31.98|13.63
P03|FUENTES_DE_NAVA|2021-03-04|0.2|1.97|8.19|17.42|1.29|80.9|97.3|42.63|1.19|52.52|3.8|68.07|14.62
P04|VILLOLDO|2021-03-04|0.2|1.97|7.17|15.56|2.0|90.3|100.0|49.17|1.92|56.58|5.07|55.24|13.91
P06|HERRERA_DE_PISUERGA|2021-03-04|0.21|1.65|5.88|13.9|-0.25|81.6|99.7|39.31|1.07|50.65|4.63|92.4|12.78
P07|VILLALUENGA_DE_LA_VEGA|2021-03-04|0.0|1.9|8.17|15.76|1.67|76.7|96.0|45.44|1.17|351.8|4.23|182.7|15.99
P08|LANTADILLA|2021-03-04|0.1|1.93|7.83|15.62|1.77|81.9|98.7|43.31|1.49|57.95|3.94|65.54|13.79
P101|VILLAELES_DE_VALDAVIA|2021-03-04|0.0|2.03|6.8|14.7|0.54|78.7|95.7|46.39|1.7|152.47|3.29|348.4|17.07
SA01|CIUDAD_RODRIGO|2021-03-04|0.0|1.72|8.4|16.41|1.88|86.1|100.0|44.14|0.9|192.4|6.78|194.6|12.81
SA03|ALDEARRUBIA|2021-03-04|0.2|2.02|8.22|17.41|0.46|77.5|100.0|32.6|1.09|109.9|6.78|157.3|14.17
SA101|ARABAYONA|2021-03-04|0.0|1.73|8.58|16.21|1.99|70.88|95.8|38.16|0.73|100.5|1.68|157.8|13.55
SA102|EJEME|2021-03-04|0.0|2.1|7.78|18.2|-0.5|75.97|100.0|32.89|1.1|312.1|4.71|52.65|14.7
SG01|GOMEZSERRACÍN|2021-03-04|0.0|1.89|7.7|17.34|0.2|78.1|100.0|34.89|0.97|99.1|8.09|70.7|13.71
SG02|NAVA_DE_LA_ASUNCIÓN|2021-03-04|0.0|1.71|6.73|16.34|-1.35|84.8|100.0|47.46|0.98|131.5|5.17|49.11|13.37
SO01|ALMAZÁN|2021-03-04|0.1|1.64|6.57|14.42|1.24|90.7|100.0|56.24|1.5|112.0|5.92|158.3|12.3
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-03-04|0.0|1.9|7.65|16.56|0.3|80.2|100.0|34.35|1.22|119.4|4.01|204.0|11.93
SO03|FUENTECANTOS|2021-03-04|0.0|1.57|5.6|14.83|-0.96|85.5|100.0|45.15|1.07|62.87|6.18|47.81|10.97
SO101|HINOJOSA_DEL_CAMPO|2021-03-04|0.0|1.65|5.68|14.06|0.19|91.2|100.0|50.49|1.67|35.35|7.24|38.2|10.46
VA01|MAYORGA|2021-03-04|0.0|2.03|8.75|15.88|2.83|79.6|95.0|49.17|1.77|79.9|5.75|112.1|14.75
VA02|TORRECILLA_DE_LA_ORDEN|2021-03-04|0.0|2.18|8.63|16.63|1.41|75.4|98.7|43.3|1.95|119.9|6.81|115.5|13.7
VA03|OLMEDO|2021-03-04|0.0|2.33|8.6|17.53|1.29|75.5|100.0|41.07|2.04|125.1|6.47|62.01|13.96
VA05|ENCINAS_DE_ESGUEVA|2021-03-04|0.0|2.06|8.3|18.14|0.63|73.0|95.3|32.32|1.17|70.3|4.64|73.5|12.95
VA06|TORDESILLAS|2021-03-04|0.0|2.08|9.53|17.98|3.52|75.0|96.7|41.6|1.36|98.3|5.12|113.6|13.78
VA07|VALBUENA_DE_DUERO|2021-03-04|0.0|2.11|9.02|17.97|2.13|68.56|92.6|32.31|1.2|105.4|7.43|157.3|13.66
VA08|MEDINA_DE_RIOSECO|2021-03-04|0.21|2.02|8.71|16.83|1.72|78.2|99.2|42.01|1.5|70.1|4.58|98.6|13.39
VA102|MEDINA_DEL_CAMPO|2021-03-04|0.0|2.55|9.14|17.84|2.8|73.19|95.5|37.13|2.12|281.3|5.95|329.0|15.14
VA103|RUEDA|2021-03-04|0.0|2.23|10.23|17.68|3.7|70.5|99.0|35.51|1.49|102.8|4.6|123.9|14.52
VA104|VILLALÃ³N_DE_CAMPOS|2021-03-04|0.1|1.95|8.21|16.08|2.72|87.2|100.0|52.06|1.85|53.04|4.93|85.2|14.02
ZA01|COLINAS_DE_TRASMONTE|2021-03-04|0.2|1.71|9.41|16.81|2.18|79.6|100.0|51.98|0.88|82.5|4.33|94.5|13.88
ZA02|VILLARALBO|2021-03-04|0.0|2.16|9.5|17.62|2.49|78.3|100.0|36.76|1.4|74.9|6.14|73.8|14.49
